Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
1,Man,,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Developer, full-stack",36,27.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,I am not interested in new job opportunities,Once a year,2 to 9 employees,50.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",20y+,3.0
5,Man,31.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,15,8.0,Employed full-time,,Not stated,Not stated,Once a year,Not stated,,Not stated,5-10y,
6,Man,,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Designer;Developer, front-end;Developer, mobile",6,4.0,Employed full-time,,Slightly satisfied,I am not interested in new job opportunities,Once a year,Not stated,,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,3.0
8,Man,36.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",17,13.0,Employed full-time,116000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,39.0,Remote work options;Opportunities for professional development;Family friendliness,10-20y,1.0
9,Man,30.0,Tunisia,"Professional degree (JD, MD, etc.)","Developer, full-stack",6,4.0,"Independent contractor, freelancer, or self-employed",,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"Just me - I am a freelancer, sole proprietor, etc.",50.0,Diversity of the company or organization;Remote work options;Office environment or company culture,2-5y,0.0
10,Man,22.0,United Kingdom,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Database administrator;Developer, full-stack;Developer, mobile",8,4.0,Employed full-time,32315.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,2 to 9 employees,36.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,2-5y,4.0
11,Man,23.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end",10,2.0,Employed full-time,40070.0,Slightly dissatisfied,I am actively looking for a job,Every few months,"10,000 or more employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",0-2y,1.0
12,Man,49.0,Spain,Some college/university study without earning a degree,"Designer;Developer, front-end",7,7.0,Employed full-time,14268.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,2 to 9 employees,40.0,Remote work options;Office environment or company culture;Family friendliness,5-10y,0.0
13,Man,53.0,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Designer;Developer, back-end",35,20.0,Employed full-time,38916.0,Very satisfied,I am not interested in new job opportunities,Once every few years,2 to 9 employees,36.0,Industry that I’d be working in;Financial performance or funding status of the company or organization;Office environment or company culture,10-20y,4.0
14,Man,27.0,United States,"Associate degree (A.A., A.S., etc.)","Developer, desktop or enterprise applications;Developer, front-end",5,1.0,Employed full-time,66000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,100 to 499 employees,40.0,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,0-2y,3.0
